,Author,cm_tot,cm_min,cm_max,cm_avg,rd_tot,rd_min,rd_max,rd_avg,f_count,correct_author,grouping
0,Bob Brodt,0.9999999947679347,-0.44721597792171414,0.9999999999997502,0.9999999999997959,1.849905689591343,-0.8629680746372682,0.8129524285257125,-0.392736017445332,2.2329845718204426,1,1
1,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45221146298479387,-0.0327355355449849,-1.2989937709515198,-0.9055630246385485,-0.46050512424046597,0,1
2,adrobisch,-1.0001105468561395,-0.4472130431277602,-0.9999996091170507,-0.9999997135572266,-0.4512889121278746,0.0881892838262359,0.6561995081084537,-0.6044842210276336,-0.4642254138759092,0,1
3,rbrodt,0.9999999947679347,-0.44721309213120497,0.9999999999997502,0.9999999999997959,-0.4321824634804294,0.3235784365500299,0.12439074750693356,-0.4977390962352029,-0.445623965698693,0,1
4,Flavio Donzé,-0.9997647628779792,-0.4472134199301775,-0.9999992716924068,-1.0000003285926313,-0.39028230853137613,-0.09266657894140366,-0.0949157929308166,-0.18657326977062122,-0.4195819382505903,0,1
5,Paul Leacu,-1.0000883450073206,-0.4472109839302476,-1.0000006280511573,-0.9999994342505486,-0.4498374198279397,-0.2951465962924998,-1.3951453429542662,-1.1862156960678596,-0.445623965698693,0,1
6,Bob Brodt,0.9999999947679347,-0.4472137525962631,0.9999999999997502,0.9999999999997959,4.301450547453942,-0.506768688770902,2.8583439095629526,2.958425509014411,2.2367048614558858,1,2
7,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4490492865149175,2.9166806897434845,0.7889396924680124,2.644344194207984,-0.46050512424046597,0,2
8,adrobisch,-1.0000974582151843,-0.4472094054653284,-0.9999970598638198,-0.9999970959998522,-0.4478916074118243,1.9278871788288063,2.707307818704704,2.446608379531584,-0.4642254138759092,0,2
9,rbrodt,0.9999999947679347,-0.4472105763707122,0.9999999999997502,0.9999999999997959,-0.4080876043473349,1.1720185503666107,2.1705423900510468,2.7809583524512993,-0.445623965698693,0,2
10,Flavio Donzé,-0.999762221893936,-0.4472136111891897,-1.0000013687699736,-1.000000299048233,-0.3183950178653632,1.6385499397348455,1.9554933459806316,3.5669970441119148,-0.4195819382505903,0,2
11,Paul Leacu,-1.0000884673534425,-0.4472114150220203,-1.0000004881782967,-0.9999994478436751,-0.4446831993523134,1.699453350863481,0.655968478818434,1.3854314165744765,-0.445623965698693,0,2
12,Bob Brodt,0.9999999947679347,-0.4472169997685452,0.9999999999997502,0.9999999999997959,1.4267377082277133,-1.1045157379963992,0.6850331302723252,-0.9711893359017605,2.2367048614558858,1,3
13,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45279786786265036,-0.6759737715027361,-1.7814794546424173,-1.5638700258132698,-0.46050512424046597,0,3
14,adrobisch,-1.0001065673927203,-0.4472119261318152,-0.9999988813413492,-0.9999989177164778,-0.4514190374369704,-0.5277392101522553,-0.21813456701654774,-0.7213487359627575,-0.4642254138759092,0,3
15,rbrodt,0.9999999947679347,-0.4472139862225968,0.9999999999997502,0.9999999999997959,-0.4370908262104854,-0.39618157667244586,-0.7541593149622259,-1.1656424141740378,-0.445623965698693,0,3
16,Flavio Donzé,-0.9997979471548972,-0.4472142419598053,-0.9999996647929963,-1.0000007144311371,-0.40740055603906467,-0.863829565026966,-0.9734353466856797,-1.0803967130420993,-0.4195819382505903,0,3
17,Paul Leacu,-1.0000875548976738,-0.4472109567398611,-1.0000005482180634,-0.9999993464663165,-0.44988738182194044,-0.454411279847749,-1.435399816604095,-1.2111437367330993,-0.445623965698693,0,3
18,Bob Brodt,0.9999999947679347,-0.4472169997685452,0.9999999999997502,0.9999999999997959,1.4708410820571411,-1.174819557428003,0.9682333287596613,-0.9109018281736361,2.2367048614558858,1,4
19,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4526144414631948,-0.6454742391250098,-1.6194666586961282,-1.3579527704806824,-0.46050512424046597,0,4
20,adrobisch,-1.0001065673927203,-0.4472119261318152,-0.9999988813413492,-0.9999989177164778,-0.45119795235418536,-0.3025289381766662,-0.5157601575349902,-0.5227939648841831,-0.4642254138759092,0,4
21,rbrodt,0.9999999947679347,-0.4472139862225968,0.9999999999997502,0.9999999999997959,-0.43783571023309337,-0.8064131372121207,-0.9023370713656287,-1.267002182703991,-0.445623965698693,0,4
22,Flavio Donzé,-0.9997979471548972,-0.4472142419598053,-0.9999996647929963,-1.0000007144311371,-0.41105874205161574,-1.0217919439805347,-0.8260098032779467,-1.2714076454636225,-0.4195819382505903,0,4
23,Paul Leacu,-1.0000875548976738,-0.4472109567398611,-1.0000005482180634,-0.9999993464663165,-0.44932139773042,-0.35654427671535377,-1.1944571075882606,-0.928751595837509,-0.445623965698693,0,4
24,Bob Brodt,0.9999999947679347,-0.4472173108579021,0.9999999999997502,0.9999999999997959,2.5151759894019152,-1.146816298462687,2.078866531684358,0.5166612657702997,2.2367048614558858,1,5
25,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4511104315817071,-0.32036308933138913,-0.07272952612778585,0.330471511456575,-0.46050512424046597,0,5
26,adrobisch,-1.0001185905326517,-0.44721507524806275,-1.0000014566844597,-1.000001322187553,-0.44935696710972967,2.288910009194786,-0.45265342249715107,1.130580379360103,-0.4642254138759092,0,5
27,rbrodt,0.9999999947679347,-0.4472130648338643,0.9999999999997502,0.9999999999997959,-0.41910570165533384,1.1510176178118925,0.353345919788953,1.2816755662947381,-0.445623965698693,0,5
28,Flavio Donzé,-0.9997364905755055,-0.44721181588626596,-0.9999982086651853,-0.99999999986638,-0.36933208500464043,-0.3748841883689143,0.2110181147198304,0.9073354917169952,-0.4195819382505903,0,5
29,Paul Leacu,-1.0000861427476333,-0.44721084163712177,-1.0000003252125231,-0.9999991895709952,-0.4442256452032768,2.7237721872967087,0.01784097783279732,1.613723514635096,-0.445623965698693,0,5
30,Bob Brodt,0.9999999947679347,-0.44721725305702825,0.9999999999997502,0.9999999999997959,2.1089774109325035,-0.6715905359904647,1.5714955956417573,-0.03859557315863963,2.2367048614558858,1,6
31,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45173869881261636,0.04752264349537078,-0.6116913298899723,-0.37483080155975845,-0.46050512424046597,0,6
32,adrobisch,-1.0001167375253288,-0.44721470806681785,-1.000000892874876,-1.0000009516102717,-0.4498333675295001,2.113228366041702,-0.8615535060690418,0.7027289155812323,-0.4642254138759092,0,6
33,rbrodt,0.9999999947679347,-0.44721294205998197,0.9999999999997502,0.9999999999997959,-0.4251522053789376,1.2195029564501365,-0.21589488207094795,0.45890020900601847,-0.445623965698693,0,6
34,Flavio Donzé,-0.999698099973596,-0.44721139346228994,-0.9999982004642685,-0.9999995534931617,-0.3795355036010238,0.6855737661014459,-0.4182992972687683,0.37456747683326264,-0.4195819382505903,0,6
35,Paul Leacu,-1.0000816271058577,-0.44721018392666456,-0.9999998599158836,-0.9999986878657603,-0.44640990223435245,1.3214105136748675,-0.6031860309253105,0.5239101638486378,-0.445623965698693,0,6
36,Bob Brodt,0.9999999947679347,-0.4472172340722604,0.9999999999997502,0.9999999999997959,2.4562094954207025,-1.1846854220061627,2.3448938329608673,0.436056480854259,2.2367048614558858,1,7
37,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.45119346846100766,0.09133678662169858,-0.17151777527132392,0.2372530525667034,-0.46050512424046597,0,7
38,adrobisch,-1.0001175514296838,-0.44721492596814505,-1.0000011040664563,-1.0000011143805205,-0.4492589852781954,1.4359013018524152,-0.0992674108284351,1.2185770903324604,-0.4642254138759092,0,7
39,rbrodt,0.9999999947679347,-0.4472129880485763,0.9999999999997502,0.9999999999997959,-0.42405787555196534,0.35139716110413566,0.5427088011742988,0.6078106629703426,-0.445623965698693,0,7
40,Flavio Donzé,-0.9997126638672896,-0.44721143945129355,-0.9999982035361648,-0.9999997228297122,-0.3840878806788165,-0.33892389382302346,0.5979397098937638,0.1368666635394215,-0.4195819382505903,0,7
41,Paul Leacu,-1.0000833458650829,-0.4472104470433598,-1.0000000390463826,-0.9999988788265458,-0.44414100715679256,1.9693419511630128,0.03355514375293701,1.6559528272712094,-0.445623965698693,0,7
42,Bob Brodt,0.9999999947679347,-0.44721731532246406,0.9999999999997502,0.9999999999997959,3.3592703409909244,-1.2319460790270822,3.2462184467866098,1.6705037119629056,2.2367048614558858,1,8
43,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.44966075477077794,1.8407944816937203,0.7225729185731938,1.9579006651219664,-0.46050512424046597,0,8
44,adrobisch,-1.0001173625034343,-0.44721489882656634,-1.0000010399546224,-1.0000010765977363,-0.44805042690392965,-0.6110399056392912,0.8115415552540761,2.3039738448965257,-0.4642254138759092,0,8
45,rbrodt,0.9999999947679347,-0.44721297408773036,0.9999999999997502,0.9999999999997959,-0.4148300132335522,-0.991877279452387,1.4268982471071885,1.8634880036465395,-0.445623965698693,0,8
46,Flavio Donzé,-0.9997082426780911,-0.44721142549032333,-0.9999982026036234,-0.9999996714238901,-0.36748880915218207,-0.39834638380659126,1.5073598318766235,1.0035815103940513,-0.4195819382505903,0,8
47,Paul Leacu,-1.0000828312822123,-0.4472103749941973,-0.9999999853440282,-0.9999988216544023,-0.4409608482382311,2.684947945886231,0.9036830610736307,3.2426615331437167,-0.445623965698693,0,8
48,Bob Brodt,0.9999999947679347,-0.4472172712179862,0.9999999999997502,0.9999999999997959,2.876965162221204,-1.3711186454844364,2.710884434152384,1.0112122639922085,2.2367048614558858,1,9
49,bfitzpat,0.9999999947679347,2.2360679774964685,0.9999999999997502,0.9999999999997959,-0.4505740348493931,0.6240910870950431,0.18871070288351124,0.9326386107144117,-0.46050512424046597,0,9
50,adrobisch,-1.000116922668724,-0.44721476562147744,-1.0000009357736215,-1.0000009886365344,-0.44875148789458635,0.6402501127260005,0.2752696623883204,1.6743564923441336,-0.4642254138759092,0,9
51,rbrodt,0.9999999947679347,-0.4472129514015144,0.9999999999997502,0.9999999999997959,-0.4175040012958062,-0.37742961092949584,0.8905593245601194,1.4996262442105188,-0.445623965698693,0,9
